id;name;object;capital;capital_currency;capital_share;capital_share_perc;source;source_link;source_date;parent
372;DB Regio Tyne and Wear Limited, London/Großbritannien ;Konzessionsbetrie b der Tyne and Wear Metro ;1.300.000001;GBP;1.300.000001;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Arriva (2007) Limited, Sunderland 
373;DB RegioNetz Verkehrs GmbH, Frankfurt/Main ;Erbringung, Vermarktung und Koordination von schienen- und straßengebund- enen Verkehrs- leistungen ;100;EUR;100;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Arriva (2007) Limited, Sunderland 
374;DB Reise & Touristik Suisse SA, Basel/Schweiz ;Betrieb eines Bahnverpflegungs -dienstes;1.200.000;CHF;1.200.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Regio Aktiengesellschaft, Frankfurt/Main 
375;DB Schenker (Cambodia) Limited, Phnom Penh/Kambodscha ;Transport & Logistik ;500;USD;500;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Arriva Finance Lease Limited, Sunderland 
376;DB Schenker BTT GmbH, Mainz ;Nationale und internationale Produktentwicklun g und Vermarktung von Tank-, Silo- und Wechselbe- hälterverkehren ;1.534.000;EUR;1.534.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;WB Westfalen Bus GmbH, Münster 
377;DB Schenker FLLC, Minsk/Weißrussland ;Transport & Logistik ;130;USD;128.7;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Schenker International AB, Göteborg 
378;DB Schenker Global Services Europe S.R.L., Bukarest/Rumänien ;Holding- gesellschaft ;1.350.000;RON;1.350.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Schenker Aktiengesellschaft, Essen 
379;DB Schenker Nieten GmbH, Freilassing ;Betrieb einer nationalen und internationalen Spedition sowie Lagerei mit Schwerpunkt Holzlogistik ;50;EUR;50;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;BTL Schenker North & East AB, Göteborg 
380;DB Schenker Rail (UK) Holdings Limited, Doncaster/ Großbritannien ;Holding- gesellschaft ;43.815.277;GBP;43.815.277;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Container Service Amsterdam 
381;DB Schenker Rail (UK) Limited, Doncaster/ Großbritannien ;Schienen- gütervekehr ;18.947.932;GBP;18.947.932;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Autocares Mallorca, s.l., Alcudia 
