id;name;capital;capital_currency;capital_share;capital_share_perc;source;source_link;source_date;children;parents;parent;type
216;Arriva HWGO BV, Heerenveen ;90;EUR;90;66,67;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;4;FMS-WM ;Personenverkehr
217;Arriva Insurance A/S, Kastrup/Dänemark ;20000000;DKK;20000000;66,67;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;4;FMS-WM ;Versicherungs- gesellschaft
221;Arriva International (Southern Europe) Limited, Sunderland/ Großbritannien ;200000000;EUR;200000000;60,48;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Transport Services s.r.o., Nitra ;Holding- gesellschaft
222;Arriva International Finance Limited, Sunderland ;500000000;EUR;500000000;60,36;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Hungary Zrt., Budapest ;Mantelgesellschaft
223;Arriva International Limited, Sunderland/ Großbritannien ;367500000;GBP;367500000;60,14;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Hungary Zrt., Budapest ;Mantelgesellschaft
224;ARRIVA INVESTIMENTOS SGPS,SA, Almada/Portugal ;63050000;EUR;63050000;54,7;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Oy Schenker East AB, Helsinki ;Managementgesel lschaft für soziale Aktivitäten
225;Arriva Italia Rail S.R.L., Milano/Italien ;317,5;EUR;317,5;51,17;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;DB Regio Aktiengesellschaft, Frankfurt/Main ;Personenverkehr
228;Arriva Kent Thameside Limited, Sunderland/ Großbritannien ;3078491;GBP;3078491;47,5;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Saar-Pfalz-Bus GmbH, Saarbrücken ;Personenverkehr
229;ARRIVA LISBOA TRANSPORTES SA, Almada/Portugal ;100;EUR;100;45,5;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Transportes Ferroviarios Especiales, S.A., Madrid Transfesa Portugal Lda., Lissabon ;Personenverkehr in Autos
231;Arriva Liverpool Limited, Sunderland/ Großbritannien ;514;GBP;514;35,1;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Bundesdruckerei GmbH, Berlin ;Personenverkehr
232;Arriva London Limited, Sunderland/ Großbritannien ;400;GBP;400;33,33;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Regionalverkehr Allgäu GmbH (RVA), Oberstdorf ;Mantelgesellschaft
248;Arriva Nitra a.s., Nitra/Slowakei ;11449352;EUR;6924568;999,429;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Schenker SA, Gennevilliers ;
249;Arriva Noroeste s.l., Ferrol/Spanien ;21038440;EUR;21038440;972,112;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Schenker Romtrans S.A., Bukarest ;Personenverkehr
