,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
52,Arriva Kent Thameside,Personenverkehr,3.078.491,3.078.491,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
53,ARRIVA LISBOA,Personenverkehr,100.000,100.000,100,ARRIVA
,"TRANSPORTES SA,",in Autos,,,,INVESTIMENTOS
,Almada/Portugal,,,,,"SGPS,SA, Almada"
,,,,,,
54,Arriva LITAS d.o.o.,Personenverkehr,"653.660.211,582","653.660.211,582",100,Arriva Europe
,"Pozarevac,",,12 RSD,12 RSD,,"GmbH, Berlin"
,Pozarevac/Serbien,,,,,
55,Arriva Liverpool,Personenverkehr,514.000,514.000,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
56,"Arriva London Limited,",Mantelgesellschaft,400.000,400.000,100,Arriva Motor
,Sunderland/,,GBP,GBP,,"Holdings Limited,"
,Großbritannien,,,,,Sunderland
,,,,,,
57,ARRIVA LONDON,Personenverkehr,5.748.779,5.748.779,100,Arriva (2007)
,"NORTH EAST LTD,",,GBP,GBP,,"Limited, Sunderland"
,Sunderland/,,,,,
,Großbritannien,,,,,
,,,,,,
58,ARRIVA LONDON,Personenverkehr,8.141.500,8.141.500,100,Arriva (2007)
,"NORTH LTD,",,GBP,GBP,,"Limited, Sunderland"
,Sunderland/,,,,,
,Großbritannien,,,,,
,,,,,,
59,ARRIVA LONDON,Personenverkehr,3.992.000,3.992.000,100,Arriva (2007)
,"SOUTH LTD,",,GBP,GBP,,"Limited, Sunderland"
,Sunderland/,,,,,
,Großbritannien,,,,,
,,,,,,
60,Arriva LUV doo,Personenverkehr,36.414.510 RSD,36.414.510,100,Arriva Europe
,"Beograd (Palilula),",,,RSD,,"GmbH, Berlin"
,Belgrad,,,,,
,,,,,,
61,Arriva Malta Finance &,Mantelgesellschaft,521.859.241222.,1,"0,00000",Arriva Finance
,"Investments Limited,",,459.241,,020,"Holding BV,"
,Valletta/Malta,,,,"99,9999",Heerenveen
,,,,521.859.240222.,998100,Arriva Malta
,,,,459.240,,"Holdings LtdLimited,"
,,,,,,Valletta
,,,,,,
